#,japanese,pronounciation,translation
573,壊れる,こわれる,"break, break down"
574,復習,ふくしゅう,review
575,眉,まゆ,eyebrow
576,客,きゃく,"visitor, customer"
577,机,つくえ,desk
578,風呂,ふろ,bath
579,湯,ゆ,hot water
580,ぬるい,ぬるい,"tepid, lukewarm"
581,風邪薬,かぜぐすり,cold medicine
582,靴下,くつした,socks
583,タバコ,たばこ,"tobacco, cigarette"
584,アイスコーヒー,あいすこ,iced coffee
585,天ぷら,て,Japanese deep-fried food
586,肉,にく,"flesh, meat"
587,昨夜,さくや,"last night, last evening (colloquial)"
588,流行る,はやる,"be in fashion, be popular"
589,連れて来る,つれてくる,bring (a person)
590,方,かた,person (polite form)
591,零,れい,zero
592,雲,くも,cloud
593,空,そら,sky
594,人気,に,popularity
595,兄さん,にいさ,(one’s own) older brother (polite)
596,姉さん,ねえさ,(one’s own) older sister (polite)
597,平成,へいせい,Heisei era
598,毎月,まいつき,every month
599,半日,はんいち,half a day
600,半月,は,half a month
601,なるほど,なるほど,"I see, really"
602,つまり,つまり,"in short, that is to say"
603,そのまま,そのまま,"as it is, just like that"
604,はっきり,はっきり,clearly
605,大変,たいへ,"awful, hard"
606,簡単,か,"simple, easy"
607,似ている,にている,"look like, resemble"
608,驚く,おどろく,"be surprised, be startled"
609,嫌,いや,dislike (situational)
610,喧嘩,け,"fight, argument"
611,遅れる,おくれる,be late
612,にんじん,に,carrot
613,ジャガイモ,じゃがいも,potato
614,ナス,なす,eggplant
615,やかん,やか,kettle
616,話し合う,はなしあう,"discuss, talk over"
617,残す,のこす,"leave, leave undone"
618,ごちそうする,ごちそうする,"treat, host (a meal)"
619,合う,あう,"fit, match"
620,当たる,あたる,"(go straight and) hit, strike"
621,集まる,あつまる,"gather, be collected"
622,場所,ばしょ,"place, space"
623,海,うみ,"sea, ocean"
624,少年,しょうね,boy (between 7 and 18 years old)
625,孫,まご,grandchild
626,生徒,せいと,"pupil, student"
627,高校,こうこう,high school (for short)
628,年上,としうえ,"older, senior"
629,卒業,そつぎょう,graduation
630,運動,う,"movement, exercise"
631,選手,せ,"athlete, (sports) player"
632,映画,えいが,movie
633,英語,えいご,English
634,手紙,てがみ,letter
635,動物,どうぶつ,animal
636,音,おと,"sound, noise"
637,海外,かいがい,"overseas, abroad"
638,外国人,がいこくじ,foreigner
639,帰国,きこく,return to one’s country
640,彼ら,かれら,they
641,機械,きかい,machine
642,基本,きほ,basics
643,今度,こ,"this time, next time"
644,最後,さいご,last
645,最初,さいしょ,"first, outset"
646,準備,じゅ,"preparation, arrangement"
647,進む,すすむ,"advance, move forward"
648,直接,ちょくせつ,directly
649,特に,とくに,"specially, particularly"
650,届く,とどく,"reach, be received"
651,なぜ,なぜ,why
652,並ぶ,ならぶ,"line up, be parallel"
653,運ぶ,はこぶ,"carry, transport"
654,直す,なおす,"repair, fix"
655,反対,は,"oppose, object"
656,場合,ばあい,"situation, case"
657,詳しい,くわしい,detailed
658,いたずら,いたずら,"mischief, prank"
659,お祝い,おいわい,celebrate
660,くし,くし,comb
