#,japanese,pronounciation,translation
2301,言い訳,いいわけ,excuse
2302,ミュージック,みゅうじっく,music
2303,青春,せいしゅ,"blossom of youth, adolescence"
2304,あっさり,あっさり,"bluntly, easily"
2305,焦る,あせる,"feel pressured, feel hurried"
2306,柔軟,じゅうな,"pliable, flexible"
2307,タレント,たれ,"celebrity, TV personality"
2308,どうにか,どうにか,somehow
2309,コンテスト,こ,"contest, competition"
2310,もてる,もてる,be popular (esp. with the opposite sex)
2311,デザート,でざあと,dessert
2312,クイズ,くいず,"quiz, quiz show"
2313,中毒,ちゅうどく,"poisoning, addiction"
2314,ムード,むうど,mood
2315,同情,どうじょう,"sympathy, compassion"
2316,学歴,がくれき,educational background
2317,好調,こうちょう,good condition
2318,アマチュア,あまちゅあ,amateur
2319,炒める,いためる,stir-fry
2320,カメラマン,かめらま,photographer
2321,問い合わせる,といあわせる,"inquire, ask for (information)"
2322,しょっちゅう,しょ,"frequently, repeatedly"
2323,ロープ,ろおぷ,rope
2324,ストライキ,すとらいき,strike
2325,パンク,ぱ,flat tire
2326,コマーシャル,こまあしゃる,"commercial, advertising"
2327,チェンジ,,"change, exchange"
2328,待ち合わせ,まちあわせ,"meeting with someone, appointment"
2329,時差,じさ,time difference
2330,義理,ぎり,"sense of duty, obligation"
2331,さっと,さっと,quickly
2332,左利き,ひだりきき,left-handedness
2333,サボる,さぼる,"slack of, ditch"
2334,だるい,だるい,"feel run-down, weary"
2335,ポット,ぽっと,"pot, thermos"
2336,レントゲン,れ,X-rays
2337,心強い,こころ,"reassuring, heartening"
2338,無駄遣い,むだ,wasteful spending
2339,バッジ,ば,badge
2340,眼科,が,"ophthalmology, eye clinic"
2341,履歴書,りれきしょ,"resume, curriculum vitae"
2342,インフレーション,い,inflation
2343,癌,が,cancer
2344,ぺこぺこ,ぺこぺこ,"bow, kowtow"
2345,嘘つき,うそつき,liar
2346,おごる,おごる,"treat, pay for (someone)"
2347,十字路,じゅうじろ,crossroads
2348,びっしょり,び,"drenched, soaked"
2349,だぶだぶ,だぶだぶ,"baggy, too big"
2350,おだてる,おだてる,flatter
2351,かかと,かかと,heel
2352,ほっと,ほっと,feel relieved
2353,傷付ける,きずつける,"hurt (someone), damage (something)"
2354,うつむく,うつむく,"look down, lower one’s eyes"
2355,前売り券,まえうりけ,advance ticket
2356,短期,た,short-term
2357,舐める,なめる,lick
2358,本日,ほ,today (formal)
2359,業界,ぎょうかい,"industry, business world"
2360,ネットワーク,ねっとわあく,network
2361,弁護士,べ,"lawyer, attorney"
2362,入力,にゅうりょく,"input, entry"
2363,前回,ぜ,last time
2364,画面,がめ,screen
2365,後半,こうは,"latter half, second half"
2366,自信,じし,confidence
2367,素敵,すてき,"lovely, nice"
2368,当たり前,あたりまえ,"no wonder, natural"
2369,やり方,やりかた,way of doing
2370,わずか,わずか,"meager, marginal"
2371,ついに,ついに,"at last, at length"
2372,次回,じかい,next time
2373,スピード,すぴいど,speed
2374,バイト,ばいと,part-time job
2375,不可能,ふかのう,impossible
2376,アドバイス,あどばいす,advice
2377,落ち着く,おちつく,"calm down, settle in"
2378,せっかく,せっかく,with much trouble
2379,つい,つい,"inadvertently, carelessly"
2380,大手,おおて,major company
2381,部長,ぶちょう,department head
2382,前半,ぜ,first half
2383,たまたま,たまたま,"by chance, accidentally"
2384,相変わらず,あいかわらず,"as usual, as before"
2385,支払い,しはらい,payment
2386,人数,に,number of people
2387,課長,かちょう,section chief
2388,ファッション,,fashion
2389,体調,たいちょう,health condition
2390,付き合う,つきあう,"socialize with, see (someone)"
2391,ショッピング,しょっぴ,shopping
2392,あり,あり,ant
2393,最悪,さいあく,worst
2394,かえる,かえる,frog
2395,おじさん,おじさ,"Mister, middle-aged man"
2396,得,とく,"advantage, gain"
2397,掴む,つかむ,"grip, grab"
2398,知り合い,しりあい,acquaintance
2399,ペース,ぺえす,pace
2400,作成,さくせい,"to produce, to make"
2401,親子,おやこ,parent and child
2402,話し合い,はなしあい,"talk, discussion"
2403,本社,ほ,head office of a company
2404,打ち合わせ,うちあわせ,"meeting, arrangement"
2405,見守る,みまもる,"watch, keep watch over"
2406,売り上げ,うりあげ,"sales, proceeds"
2407,かえって,かえって,"rather, instead"
2408,アイドル,あいどる,idol
2409,何となく,な,for some reason
2410,年末,ね,end of year
2411,無意識,むいしき,"unconsciously, unintentionally"
2412,駅前,えきまえ,in front of the station
2413,やって来る,やってくる,come all the way
2414,キッチン,きっち,kitchen
2415,キス,きす,kiss
2416,慌てる,あわてる,"be flustered, be in a hurry"
2417,都内,とない,in the metropolitan area of Tokyo
2418,残業,ざ,overtime work
2419,曖昧,あいまい,"ambiguous, vague"
2420,カタログ,かたろぐ,catalogue
2421,殴る,なぐる,"hit, punch"
2422,両手,りょうて,both hands
2423,仲良く,なかよく,"harmoniously, getting along"
2424,始め,はじめ,"beginning, initial part"
2425,知り合う,しりあう,"get acquainted with, get to know (someone)"
2426,お手伝い,おてつだい,"help, assistance (polite)"
2427,マナー,まなあ,manners
2428,カラオケ,からおけ,karaoke
2429,二度と,にどと,never again
2430,片手,かたて,one hand
2431,おばさん,おばさ,middle-aged woman
2432,保育園,ほいくえ,"day-care center, nursery school"
2433,ずれる,ずれる,"go off track, go out of line"
2434,ビーチ,びいち,beach
2435,せいぜい,せいぜい,"at most, at best"
2436,後期,こうき,"latter term, second half"
2437,エアコン,えあこ,"air-conditioning, air conditioner"
2438,ゆったり,ゆったり,"comfortable, easy fit"
2439,ハードウェア,はあど,hardware
2440,リクエスト,りくえすと,request
2441,翌年,よくね,the following year
2442,キャンセル,きゃ,cancellation
2443,車内,しゃない,inside a vehicle or a train
2444,大声,おおごえ,loud voice
2445,無責任,むせきに,irresponsible
2446,片方,かたほう,"one side, the other one"
2447,ボリューム,ぼりゅうむ,volume
2448,前方,ぜ,"front, ahead"
2449,日本酒,にほ,Japanese rice wine
2450,青空,あおぞら,blue sky
2451,不自然,ふしぜ,"unnatural, artificial"
2452,昨晩,さくば,"last night, last evening (formal)"
2453,市役所,しやくしょ,"municipal office, city hall"
2454,フルーツ,ふるうつ,fruit
2455,年々,ねんえ,year by year
2456,後方,こうほう,"back, rear"
2457,お詫び,おわび,"apologize, apology"
2458,大根,だいこ,oriental radish
2459,むく,むく,peel (something)
2460,例年,れいね,"typical year, average year"
2461,締め切り,しめきり,deadline
2462,正に,まさに,"just, surely"
2463,蛇,へび,snake
2464,ラッシュ,ら,"rush, rush hour"
2465,大げさ,おおげさ,exaggerated
2466,無理やり,むりやり,"forcibly, against one’s will"
2467,外食,がいしょく,"eating out, dining out"
2468,キャベツ,きゃべつ,cabbage
2469,手足,てあし,"hands and feet, limbs"
2470,閉店,へいて,shop closing
2471,百貨店,ひゃっかて,department store
2472,クッキー,くっきい,cookie
2473,車椅子,くるまいす,wheelchair
2474,大雨,おおあめ,heavy rain
2475,鳩,はと,"pigeon, dove"
2476,中級,ちゅうきゅう,"middle-class, intermediate"
2477,おにぎり,おにぎり,rice ball
2478,ひょっとしたら,ひょっとしたら,perhaps
2479,ぐるぐる,ぐるぐる,round and round
2480,和食,わしょく,Japanese-style food
2481,どく,どく,"get out of the way, step aside"
2482,ウエスト,うえすと,waist
2483,忘年会,ぼうね,year-end party
2484,包丁,ほうちょう,kitchen knife
2485,ゴールデンウィーク,ごおるで,golden week
2486,シューズ,しゅうず,shoes
2487,未成年,みせいね,"minor, underage"
2488,甥,おい,nephew
2489,葉っぱ,はっぱ,leaf
2490,やり直す,やりなおす,do over again
2491,大晦日,おおみそか,new year’s eve
2492,サングラス,さ,sunglasses
2493,病人,びょうに,sick person
2494,顔色,かおいろ,"complexion, facial expression"
2495,金色,きにろ,golden color
2496,にらむ,にらむ,"glare, stare"
2497,つかまる,つかまる,hold on to (something)
2498,足首,あしくび,ankle
2499,散らかる,ちらかる,"be in a mess, lie scattered"
2500,上がる,あがる,get nervous
2501,かぼちゃ,かぼちゃ,pumpkin
2502,水族館,すいぞくか,aquarium
2503,品切れ,しなぎれ,sold out
2504,腫れる,はれる,"swell up, be swollen"
2505,やり直し,やりなおし,"doing over, redoing"
2506,バーゲン,ばあげ,bargain sale
2507,男らしい,おとこらしい,"manly, masculine"
2508,近道,ちかみち,shortcut
2509,トースト,とおすと,toast
2510,好奇心,こうきし,curiosity
2511,実用的,じつようてき,practical
2512,客観的,きゃっか,objective
2513,抽象的,ちゅうしょうてき,abstract
2514,送別会,そうべつかい,farewell party
2515,敷金,しきき,"deposit, security deposit"
2516,日米,にちべい,Japan and the US
2517,専門家,せ,"specialist, expert"
2518,ホット,ほっと,hot
2519,わさび,わさび,Japanese horseradish
2520,初詣,はつもうで,first shrine visit of the new year
2521,ジョギング,じょぎ,jogging
2522,社会人,しゃかいじ,working member of society
2523,大急ぎ,おおいそぎ,in a great hurry
2524,セルフサービス,せるふさあびす,self-service
2525,くしゃくしゃ,くしゃくしゃ,"messy, crumpled"
2526,食パン,しょくぱ,bread in a rectangular shape
2527,人差し指,ひとさしゆび,"index finger, forefinger"
2528,洋食,ようしょく,Western food
2529,じめじめ,じめじめ,damp
2530,じろじろ,じろじろ,staringly
2531,つるつる,つるつる,"smooth, slippery"
2532,こしょう,こしょう,pepper
2533,びしょびしょ,びしょびしょ,"soaking wet, soaked"
2534,ぎゅうぎゅう,ぎゅうぎゅう,"packed, crammed"
2535,バツ,ばつ,"cross, x-mark (on errors, mistakes etc.)"
2536,水色,みずいろ,light blue
2537,領収書,りょうしゅうしょ,bill of receipt (for payment only)
2538,自然に,しぜんい,naturally
2539,とんかつ,と,pork cutlet
2540,ねぎ,ねぎ,"spring onion, green onion"
2541,きゅうり,きゅうり,cucumber
2542,鰻,うなぎ,eel
2543,まぐろ,まぐろ,tuna
2544,パイナップル,ぱいなっぷる,pineapple
2545,ほうれん草,ほうれ,spinach
2546,マヨネーズ,まよねえず,mayonnaise
2547,玉ねぎ,たまねぎ,onion
2548,焼き肉,やきにく,"grilled meat, barbecued meat"
2549,目薬,めぐすり,eye drops
2550,寝過ごす,ねすごす,oversleep
2551,国際的,こくさいてき,international
2552,国際化,こくさいか,internationalization
2553,区役所,くやくしょ,ward office
2554,和室,わしつ,Japanese-style room
2555,本格的,ほ,"authentic, serious"
2556,高速道路,こうそくどうろ,"freeway, expressway"
2557,とりあえず,とりあえず,"for now, for the time being"
2558,先に,さきに,"before, ahead"
2559,ぎりぎり,ぎりぎり,"just in time, barely"
2560,慌ただしい,あわただしい,busy and hurried
2561,今ごろ,いまごろ,"by now, at this time"
2562,くっ付く,くっつく,"stick, be attached"
2563,北風,きたかぜ,north wind
2564,海老,えび,shrimp
2565,思い切って,おもいきって,"daringly, taking the plunge"
2566,はっと,はっと,"taken aback, startled"
2567,宛先,あてさき,recipient’s address
2568,ばらばら,ばらばら,"separately, discretely"
2569,乗車券,じょうしゃけ,"train ticket, bus ticket"
2570,ぶるぶる,ぶるぶる,"shivering, trembling"
2571,すらすら,すらすら,"smoothly, easily"
2572,終電,しゅうで,last train
2573,ずるい,ずるい,"cunning, sneaky"
2574,すやすや,すやすや,"(sleep) peacefully, soundly"
2575,がたがた,がたがた,"with a rattling noise, unstable"
2576,非常口,ひじょうぐち,emergency exit
2577,ざらざら,ざらざら,"rough, gritty"
2578,ぬるぬる,ぬるぬる,slimy
2579,女らしい,おんあらしい,"womanly, feminine"
2580,急用,きゅうよう,urgent business
2581,きょろきょろ,きょろきょろ,look around
2582,ぐずぐず,ぐずぐず,"slowly, tardily"
2583,ぽかぽか,ぽかぽか,pleasantly warm
2584,洗い物,あらいもの,dishes to be washed
2585,かっと,かっと,"in a temper, in a rage"
2586,どきっと,どきっと,"surprised, shocked"
2587,乗り遅れる,のりおくれる,"miss (a train, bus, etc.)"
2588,くたくた,くたくた,exhausted
2589,すべすべ,すべすべ,"smooth, silky"
2590,にやにや,にやにや,grin to oneself
2591,あだ名,あだな,nickname
2592,後片付け,あとかた,cleaning up
2593,イカ,いか,squid
2594,うきうき,うきうき,excitedly
2595,可愛がる,かわいがる,"love, cherish"
2596,餃子,ぎょうざ,Chinese dumpling
2597,げらげら,げらげら,(laugh) out loud
2598,ごめん,ごめ,sorry
2599,明々後日,しあさって,three days from today
2600,削減,さくげ,"cutdown, reduction"
2601,贅沢,ぜいたく,"luxury, extravagance"
2602,そのうち,そのうち,"before long, sooner or later"
2603,でこぼこ,でこぼこ,"unevenness, bumpiness"
2604,手のひら,てのひら,palm
2605,裸足,はだし,bare feet
2606,べたべた,べたべた,"stick together, sticky"
2607,眉毛,まゆげ,eyebrows
2608,割り箸,わりばし,disposable chopsticks
2609,日付け,ひ,"date (written in a document, etc.)"
2610,ぴたりと,ぴたりと,"suddenly, coming to a dead stop"
2611,まな板,まないた,chopping board
2612,筆記用具,ひっきようぐ,"pens and pencils, writing materials"
2613,くすぐる,くすぐる,tickle
2614,かんかん,か,"furiously angry, in a rage"
2615,白線,はくせ,white (warning) line
2616,見覚え,みおぼえ,"recognition, remembrance"
2617,これまで,これまで,"until now, until here"
2618,からす,からす,"crow, raven"
2619,噛み付く,かみつく,bite
2620,白菜,はくさい,Chinese cabbage
2621,プロ野球,ぷろやきゅう,professional baseball
2622,かみそり,かみそり,razor
2623,何十,な,several tens
2624,何百,な,"several hundred, hundreds"
2625,何千,な,"several thousand, thousands"
2626,がくんと,がく,"sharply, significantly"
2627,飛び下りる,とびおりる,"jump off, jump down"
2628,通行止め,つうこうどめ,road closed
2629,行き止まり,いきどまり,dead end
2630,真ん丸,ま,"perfect circle, perfectly round"
2631,いつの間に,いつのまに,without anyone noticing
2632,くっ付ける,くっつける,"attach (something), stick (something)"
2633,付け足す,つけたす,"add on, append"
2634,得する,とくする,"profitable, beneficial"
2635,損する,そ,"lose, suffer loss"
2636,言い返す,いいかえす,talk back
2637,体温計,たいお,(clinical) thermometer
2638,後戻り,あともどり,"turning back, retreat"
2639,話し声,はなしごえ,talking voice
2640,くるくる,くるくる,"round and round, spin"
2641,怖がる,こわがる,"be afraid of, fear"
2642,人違い,ひとちがい,mistaken identity
2643,取り返す,とりかえす,"take back, regain"
2644,乗り降り,のりおり,getting on and off
2645,口喧嘩,くちげ,quarrel
2646,起き上がる,おきあがる,"get up, rise"
2647,ぶら下がる,ぶらさがる,"hang down, dangle"
2648,飛び上がる,とびあがる,"fly up, fump up"
2649,泣き声,なきごえ,"tearful voice, sound of crying"
2650,持ち物,もちもの,one’s belongings
2651,細長い,ほそながい,"long and thin, long and narrow"
2652,出入り口,でいりぐち,"doorway, gateway"
2653,正座,せいざ,sitting on one’s heels
2654,大喜び,おおよろこび,great joy
2655,落とし物,おとしもの,lost property
2656,じゃんじゃん,じゃ,"many times, repeatedly"
2657,見違える,みちがえる,look completely different
2658,合理的,ごうりてき,"rational, logical"
2659,自主的,じしゅてき,"voluntary, independent"
2660,全面的,ぜ,"full-scale, complete"
2661,円高,え,strong yen
2662,消費者,しょうひしゃ,consumer
2663,日中,に,Japan and China
2664,明日,あす,tomorrow (rather formal)
2665,結構,けっこう,"all right, no thank you"
2666,辛い,つらい,"hard, painstaking"
2667,まずい,まずい,"problematic, troublesome"
2668,上下,じょうげ,top and bottom
2669,生,なま,"raw, fresh"
2670,よける,よける,"avoid, dodge"
2671,がやがや,がやがや,"noisily, loudly"
2672,赤ん坊,あか,(human) baby
2673,ワープロ,わあぷろ,word processor
2674,新聞社,し,newspaper publisher
2675,寝かす,ねかす,put (someone) to bed
2676,者,もの,person (humble)
2677,中,ちゅう,"middle, medium size"
2678,性,せい,"gender, sexual activities"
2679,会,かい,"meeting, association"
2680,事,こと,"thing, incident"
2681,今日,こんいち,these days
2682,点,て,"point (of concern), dot"
2683,バック,ばっく,"back, reverse"
2684,記事,きじ,"article, story"
2685,大,だい,"big, large size"
2686,法,ほう,"law, rule"
2687,非常,ひじょう,emergency
2688,ただ,ただ,"simply, merely"
2689,感じ,か,"feeling, impression"
2690,環境,か,"environment, surroundings"
2691,理解,りかい,"understanding, comprehension"
2692,県,け,prefecture
2693,使用,しよう,use
2694,主義,しゅぎ,"principle, -ism"
2695,国民,こくみ,citizen
2696,下,もと,under (someone’s) supervision
2697,場,ば,"occasion, situation"
2698,労働,ろうどう,"labor, work"
2699,機会,きかい,"opportunity, chance"
2700,製品,せいひ,"product, manufactured goods"
2701,自身,じし,self
2702,かかる,かかる,"catch (a cold, etc.), come down with"
2703,求める,もとめる,"seek, yearn for"
2704,下さる,くださる,give (honorific)
2705,昨日,さくじつ,yesterday (formal)
2706,元,もと,"origin, former"
2707,型,かた,"type, model"
2708,それぞれ,それぞれ,"each, respectively"
2709,地方,ちほう,local region
2710,面,め,"surface, side"
2711,実は,じつは,actually
2712,夜,よる,"night, evening"
2713,地,ち,"ground, place"
2714,議論,ぎろ,"discussion, debate"
2715,以前,いぜ,"before, ago"
2716,専門,せ,"specialty, profession"
2717,申し上げる,もうしあげる,"tell, say (humble)"
2718,行動,こうどう,"action, conduct"
2719,率,りつ,"ratio, rate"
2720,監督,か,"supervisor, film director"
2721,意識,いしき,"consciousness, awareness"
2722,認める,みとめる,"recognize, permit"
2723,参考,さ,"reference, consultation"
2724,チーム,ちいむ,team
2725,現実,げ,reality
2726,価値,かち,"value, worth"
2727,テーマ,てえま,"theme, subject matter"
2728,含む,ふくむ,"contain, include"
2729,際,さい,"opportunity, time"
2730,全て,すべて,"all, everything"
2731,大臣,だいじ,minister
2732,国家,こっか,"state, nation"
2733,試合,しあい,"match, game"
2734,結局,け,"after all, finally"
2735,消費,しょうひ,"consumption, spending"
2736,人生,じ,one’s life (to lead)
2737,量,りょう,"quantity, amount"
2738,精神,せいし,"mind, mentality"
2739,レベル,れべる,level
2740,我々,われわれ,we (literary)
2741,指導,しどう,"guide, instruction"
2742,明日,みょうにち,tomorrow (very formal)
2743,資料,しりょう,"materials, data"
2744,団体,だ,"group, organization"
2745,最も,もっとも,the most
2746,完全,か,"perfect, complete"
2747,品,しな,"goods, item"
2748,男性,だ,"male, man"
2749,軍,ぐ,military
2750,描く,えがく,"depict, draw"
2751,最終,さいしゅう,"final, last (of something repeated)"
2752,センター,せ,"center (for an activity, etc.), hub"
2753,障害,しょうがい,"obstacle, disorder"
2754,医療,いりょう,"medical service, healthcare"
2755,頂く,いただく,"receive, eat (humble)"
2756,金融,きにゅう,finance
2757,学ぶ,まなぶ,"learn, study"
2758,成長,せいちょう,growth
2759,登場,とうじょう,"appearance (on stage, etc.)"
2760,知識,ちしき,knowledge
2761,友人,ゆうじ,friend (formal)
2762,イメージ,いめえじ,image
2763,トップ,とっぷ,"top, the best"
2764,税,ぜい,tax
2765,変更,へ,"alteration, change"
2766,限り,かぎり,limit
2767,式,しき,ceremony
2768,展開,て,"development, storyline (plot)"
2769,興味,きょうみ,interest
2770,含める,ふくめる,include
2771,編集,へ,editing
2772,選択,せ,"selection, choice"
2773,無料,むりょう,"no charge, free"
2774,身,み,"body, oneself, one’s status"
2775,分析,ぶ,analysis
2776,予算,よさ,budget
2777,目標,もくひょう,"target, goal"
2778,通信,つうし,"correspondence, communication"
2779,向ける,むける,"turn toward, point at"
2780,時刻,じこく,time (formal)
2781,逆,ぎゃく,"reverse, opposite"
2782,最高,さいこう,"supreme, best"
2783,利益,りえき,"profit, benefit"
2784,事務,じむ,"office work, business"
2785,出版,しゅっぱ,"publishing, publication"
2786,プロ,ぷろ,professional
2787,様々,さまざま,"various, diverse"
2788,州,しゅう,"state, province"
2789,共通,きょうつう,commonality
2790,現代,げ,"present age, modern times"
2791,被害,ひがい,"damage, harm"
2792,新た,あらた,"new, fresh"
2793,相当,そうとう,"suitability, equivalence"
2794,更新,こうし,"renewal, update"
2795,得る,える,"obtain, gain"
2796,内,うち,inside
2797,維持,いじ,"maintenance, upkeep"
2798,料金,りょうき,"charge, fee (for using facilities, etc.)"
2799,到着,とうちゃく,arrival
2800,なま物,なまもの,uncooked food
2801,章,しょう,chapter
2802,メンバー,め,member
2803,演奏,え,musical performance
2804,案,あ,"plan, idea"
2805,希望,きぼう,"hope, wish"
2806,記憶,きおく,"memory, remembrance"
2807,モデル,もでる,model
2808,方々,かたがた,people (polite)
2809,発売,はつばい,"launch, release (of a product)"
2810,話題,わだい,"topic of conversation, being talked about"
2811,目指す,めざす,aim for
2812,建築,け,"construction, architecture"
2813,印象,い,impression
2814,権利,け,"right, privilege"
2815,学習,がくしゅう,"study, learning"
2816,発展,はって,"development, expansion"
2817,現場,げ,"scene, job site"
2818,気分,きぶ,"feeling, mood"
2819,移動,いどう,"movement, shift"
2820,発行,はっこう,"publication, issue"
2821,宗教,しゅうきょう,religion
2822,改正,かいせい,"revision, amendment"
2823,倍,ばい,"double, times"
2824,不安,ふあ,"uneasy, worried"
2825,自ら,みずから,"(for) oneself, personally"
2826,広告,こうこく,advertisement
2827,共同,きょうどう,"joint, cooperation"
2828,年代,ね,"generation, era"
2829,タイプ,たいぷ,type
2830,差,さ,difference
2831,営業,えいぎょう,"business, sales"
2832,役割,やくわり,"role, duty, responsibility"
2833,改善,かいぜ,improvement
2834,撮影,さつえい,"photographing, shoot"
2835,エネルギー,えねるぎい,energy
2836,憲法,け,"constitution, constitutional law"
2837,感謝,か,"gratitude, thanks"
2838,感覚,か,"sense, feel"
2839,旅,たび,"journey, travel"
2840,合わせる,あわせる,"match (something), adapt (oneself)"
2841,既に,すでに,already
2842,現状,げ,"current condition, situation"
2843,先日,せ,"the other day, a few days ago"
2844,中央,ちゅうおう,"center, middle"
2845,似る,にる,"resemble, be alike"
2846,平均,へいき,average
2847,末,すえ,"the end, in the end"
2848,追加,ついか,"addition, supplement"
2849,なさる,なさる,do (honorific)
2850,様子,ようす,"the state of affairs, how someone appears"
2851,活用,かつよう,"practical use, application"
2852,交換,こうか,"exchange, bartering"
2853,整備,せいび,maintenance
2854,想像,そうぞう,imagination
2855,ああ,ああ,"like that, that much"
2856,満足,ま,"satisfaction, contentment"
2857,以降,いこう,"thereafter, later than"
2858,比較,ひかく,comparison
2859,クラス,くらす,"class, category"
2860,犯罪,は,"offense, crime"
2861,おっしゃる,お,"say, tell (honorific)"
2862,特定,とくてい,"specifying, identifying"
2863,基礎,きそ,"base, foundation"
2864,流れ,ながれ,"flow, stream"
2865,どうも,どうも,"for no special reason, somehow"
2866,村,むら,village
2867,安定,あ,"stability, composure"
2868,本人,ほんい,"the person himself, the said person"
2869,雰囲気,ふにき,"atmosphere, mood"
2870,会場,かいじょう,"venue, site"
2871,電子,で,"electron, electronic"
2872,文,ぶ,sentence
2873,範囲,はに,"range, scope"
2874,常に,つねに,"always, at all times (formal)"
2875,失う,うしなう,"lose, miss"
2876,日常,にちじょう,"everyday life, daily life"
2877,回答,かいとう,"reply, answer"
2878,体制,たいせい,"system, structure"
2879,調整,ちょうせい,"regulation, adjustment"
2880,疑問,ぎも,"question, doubt"
2881,応援,おうえ,"support, cheering"
2882,感想,か,"thought, impression"
2883,解説,かいせつ,"explanation, commentary"
2884,シリーズ,しりいず,series
2885,公共,こうきょう,"public, community"
2886,民間,み,"private, civilian"
2887,裁判,さいば,"trial, judgment"
2888,組合,くみあい,"union, guild"
2889,本来,ほ,"originally, primarily"
2890,一体,いったい,what on earth
2891,宇宙,うちゅう,"universe, space"
2892,申す,もうす,"say, tell (humble)"
2893,図,ず,"figure, diagram"
2894,クラブ,くらぶ,club
2895,観光,か,sightseeing
2896,提出,ていしゅつ,"presentation, submission (of a report, plan, etc.)"
2897,以来,いらい,since then
2898,離れる,はなれる,get away from
2899,生,せい,"life, living"
2900,性格,せいかく,"character, personality"
2901,検査,け,"inspection, examination"
2902,信頼,し,"reliance, trust"
2903,人物,じ,"character, person"
2904,触れる,ふれる,"touch, come in contact with"
2905,記念,きね,"commemoration, memory"
2906,役,やく,"role, part"
2907,費用,ひよう,"expense, cost"
2908,指定,してい,"designation, appointment"
2909,感情,か,"feeling, emotion"
2910,空,から,"emptiness, hollow"
2911,関わる,かかわる,"be involved, be concerned"
2912,仲間,なかま,"comrade, peer"
2913,整理,せいり,"putting something in order, sorting out"
2914,至る,いたる,"come to, reach"
2915,独立,どくりつ,"independence, self-reliance"
2916,賞,しょう,"prize, award"
2917,誕生,た,birth
2918,いらっしゃる,いら,"come, go (honorific)"
2919,都,と,metropolis of Tokyo
2920,全員,ぜに,"all members, entire staff"
2921,明確,めいかく,clear and specific
2922,少なくとも,すくなくとも,"at least, at a minimum"
2923,セット,せっと,set
2924,魅力,みりょく,"charm, attraction"
2925,きちんと,きち,"properly, neatly"
2926,手段,しゅだ,"means, way"
2927,有効,ゆうこう,"effective, valid"
2928,集中,しゅうちゅう,"concentration, convergence"
2929,現象,げ,phenomenon
2930,感動,か,"to be impressed, to be touched"
2931,禁止,き,"prohibition, forbiddance"
2932,会員,かいい,"member (of an association, society, etc.)"
2933,過ごす,すごす,spend (time)
2934,納得,なっとく,to fully understand and accept
2935,収入,しゅうにゅう,income
2936,レポート,れぽおと,"report, paper"
2937,年齢,ね,age
2938,舞台,ぶたい,"stage, setting"
2939,交通,こうつう,"traffic, transportation"
2940,他人,たに,"other people, stranger"
2941,組,くみ,"school class, group, pair"
2942,否定,ひてい,"denial, negation"
2943,扱う,あつかう,"handle, deal with"
2944,修正,しゅうせい,"correction, revision"
2945,一応,いちおう,"tentatively, just in case"
2946,生じる,しょうじる,"happen, occur"
2947,訪問,ほうも,visit
2948,引用,いにょう,"quotation, citation"
2949,芸術,げいじゅつ,"art, arts and crafts"
2950,解釈,かいしゃく,"interpretation, explanation"
2951,行,ぎょう,"line, row"
2952,結論,けつろ,conclusion
2953,困難,こんあ,"difficulty, hardship"
2954,回復,かいふく,"recovery, recuperation"
2955,適用,てきよう,"application, coverage"
2956,集団,しゅうだ,"group, mass"
2957,事態,じたい,"situation, state of affairs"
2958,スタート,すたあと,"start, begin"
2959,更に,さらに,"furthermore, still more"
2960,活躍,かつやく,"(successful) performance, action"
2961,命,いのち,life (colloquial)
2962,医師,いし,"doctor, physician (formal)"
2963,おる,おる,"be present, stay (humble)"
2964,現れる,あらわれる,"appear, emerge"
2965,講演,こうえ,"lecture, talk"
2966,瞬間,しゅ,moment
2967,交流,こうりゅう,"interaction, contact"
2968,標準,ひょうじゅ,"standard, norm"
2969,まるで,まるで,just like
2970,スタイル,すたいる,"style, physique"
2971,関心,か,"concern, interest"
2972,取り上げる,とりあげる,"take, confiscate"
2973,伝統,で,tradition
2974,民主,み,democracy
2975,制限,せいげ,"restriction, limit"
2976,投票,とうひょう,"vote, ballot"
2977,心理,し,"mentality, psychology"
2978,大体,だいたい,"about, anyway"
2979,突然,とつぜ,suddenly
2980,思想,しそう,"thought, conception"
2981,応じる,おうじる,"answer, comply with"
2982,不足,ふそく,"lack, shortage"
2983,コード,こおど,cord
2984,世の中,よのなか,"the world, society"
2985,項目,こうもく,"item, topic"
2986,旧,きゅう,"old, former"
2987,次第,しだい,as soon as
2988,長期,ちょうき,long period
2989,著者,ちょしゃ,"author, writer"
2990,罪,つみ,"crime, sin"
2991,楽,らく,"comfortable, easy"
2992,操作,そうさ,"operation, manipulation"
2993,支配,しはい,"control, rule"
2994,態度,たいど,attitude
2995,過程,かてい,"process, course"
2996,バランス,ばら,balance
2997,連続,れ,"continuation, series"
2998,機関,きか,"agency, facility"
2999,論,ろ,"argument, theory"
3000,島,とう,island
